comments,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,title,views
101,5256,University of California,989971200,0,Douglas Adams,"Douglas Adams: Parrots, the universe and everything",1,1268762040,"Author, satirist","Parrots, the universe and everything",473220
1309,1203,TED2010,1265932800,34,Jane McGonigal,Jane McGonigal: Gaming can make a better world,1,1268816460,Game Designer,Gaming can make a better world,4573252
104,1249,TEDMED 2009,1255132800,24,Ken Kamler,Ken Kamler: Medical miracle on Everest,1,1268894820,Adventure physician ,Medical miracle on Everest,719238
73,1274,TEDIndia 2009,1257897600,26,Shekhar Kapur,Shekhar Kapur: We are the stories we tell ourselves,1,1268987580,Director and writer,We are the stories we tell ourselves,733293
3356,1386,TED2010,1265846400,39,Sam Harris,Sam Harris: Science can answer moral questions,1,1269249180,"Neuroscientist, philosopher",Science can answer moral questions,3433437
76,334,TED2010,1265068800,31,Juliana Machado Ferreira,Juliana Machado Ferreira: The fight to end rare-animal trafficking in Brazil,1,1269342060,Biologist,The fight to end rare-animal trafficking in Brazil,320717
146,266,TED2010,1265846400,37,Alan Siegel,Alan Siegel: Let's simplify legal jargon!,1,1269421740,"Executive, simplicity guru",Let's simplify legal jargon!,876649
180,974,TEDxNASA,1258675200,25,Joel Levine,Joel Levine: Why we need to go back to Mars,1,1269507540,Planetary and atmospheric scientist,Why we need to go back to Mars,622046
180,566,TED2010,1265760000,34,Robert Gupta,"Robert Gupta: Music is medicine, music is sanity",1,1269593640,Violinist,"Music is medicine, music is sanity",1163387
74,407,Michael Howard Studios,1223510400,0,Patsy Rodenburg,Patsy Rodenburg: Why I do theater,1,1269611280,Acting and voice coach,Why I do theater,176995
270,1081,TED2010,1265932800,26,Kevin Bales,Kevin Bales: How to combat modern slavery,1,1269853800,Anti-slavery activist,How to combat modern slavery,857400
152,983,TEDIndia 2009,1257465600,32,Shukla Bose,Shukla Bose: Teaching one child at a time,1,1269941100,Education activist,Teaching one child at a time,940686
137,201,TED2010,1265846400,41,Kirk Citron,"Kirk Citron: And now, the real news",1,1270087200,Media expert ,"And now, the real news",684929
422,189,TED2010,1265846400,65,Derek Sivers,Derek Sivers: How to start a movement,1,1270104840,Entrepreneur,How to start a movement,6475731
795,492,TED2010,1266019200,58,Adora Svitak,Adora Svitak: What adults can learn from kids,1,1270142220,Child prodigy,What adults can learn from kids,4782854
368,1698,DICE Summit 2010,1266451200,0,Jesse Schell,Jesse Schell: When games invade real life,1,1270283520,Game designer,When games invade real life,449161
266,1154,TED2010,1265932800,32,Elizabeth Pisani,"Elizabeth Pisani: Sex, drugs and HIV -- let's get rational",1,1270458960,Author,"Sex, drugs and HIV -- let's get rational",1222800
140,1172,TEDMED 2009,1256515200,21,Dean Kamen,Dean Kamen: The emotion behind invention,1,1270543260,Inventor,The emotion behind invention,523422
183,955,TEDxNASA,1252540800,26,Dennis Hong,Dennis Hong: My seven species of robot -- and how we created them,1,1270642560,Roboticist ,My seven species of robot -- and how we created them,1922563
59,432,TED2010,1265846400,28,Jonathan Drori,Jonathan Drori: Every pollen grain has a story,1,1270717020,Educator,Every pollen grain has a story,403708
192,1758,TED2010,1265932800,22,Natalie Merchant,Natalie Merchant: Singing old poems to life,1,1270806720,Singer/songwriter,Singing old poems to life,860139
2272,1141,TED2010,1265846400,31,Michael Specter,Michael Specter: The danger of science denial,1,1271065080,Writer,The danger of science denial,1838628
117,362,TED2010,1265846400,36,Jonathan Klein,Jonathan Klein: Photos that changed the world,1,1271151120,Executive,Photos that changed the world,1209663
140,373,TED2010,1266019200,30,Catherine Mohr,Catherine Mohr: The tradeoffs of building green,1,1271234700,Roboticist,The tradeoffs of building green,766536
65,748,TED2009,1234224000,24,Thelma Golden,Thelma Golden: How art gives shape to cultural change,1,1271407020,Curator,How art gives shape to cultural change,524790
152,255,Eric Whitacre's Virtual Choir,1268237040,0,Eric Whitacre,Eric Whitacre: A choir as big as the Internet,1,1271429940,"Composer, conductor",A choir as big as the Internet,399280
77,1039,Mission Blue Voyage,1270771200,22,Edith Widder,Edith Widder: Glowing life in an underwater world,1,1271665800,Marine biologist,Glowing life in an underwater world,579754
1545,1039,TED2007,1170374400,36,James Randi,"James Randi: Homeopathy, quackery and fraud",1,1271690880,Skeptic and conjuror,"Homeopathy, quackery and fraud",2611707
38,371,TED2010,1265846400,28,Frederick Balagadde,Frederick Balagadde: Bio-lab on a microchip,1,1271840700,Inventor,Bio-lab on a microchip,295059
181,411,TED2010,1266105600,34,Tom Wujec,"Tom Wujec: Build a tower, build a team",1,1271926380,Designer,"Build a tower, build a team",3917039
89,367,TED2010,1265760000,33,Omar Ahmad,Omar Ahmad: Political change with pen and paper,1,1272011040,"Technologist, city councilman",Political change with pen and paper,538014
